model,id,sku,upc,product_type,product,brand,is_active,retail_price,store_price,sale_price,weight,created_at,updated_at
inventory.productinventory,1,7633969397,934093051374,1,1,1,1,97,92,46,987,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,2,6327000212,812307440164,1,2,3,1,99,94,47,947,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,3,7763166969,415942974882,1,3,4,1,88,84,42,994,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,4,1409736829,897643092610,1,4,4,1,73,68,34,1125,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,5,5475550705,110719510358,1,5,4,1,75,70,35,1026,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,6,9836240368,311107477050,1,6,4,1,70,66,33,1142,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,7,3745869786,483453472324,1,7,4,1,75,70,35,954,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,8,7348030971,930368566320,1,8,4,1,72,68,34,1134,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,9,9419284079,283467234559,1,9,4,1,81,76,38,915,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,10,1254249244,818829729286,1,10,4,1,98,94,47,985,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,11,2642955408,798133457621,1,11,4,1,97,92,46,1005,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,12,5625485785,835316017196,1,12,4,1,84,80,40,1149,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,13,7100806084,513357603089,1,13,4,1,91,86,43,1097,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,14,4124347238,166420247581,1,14,4,1,72,68,34,1027,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,15,4800859111,156239973767,1,15,5,1,79,74,37,957,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,16,3758306701,399421032097,1,16,6,1,93,88,44,1101,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,17,4619595378,445225199431,1,17,7,1,70,66,33,1128,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,18,6143472586,607082061458,1,18,7,1,72,68,34,1052,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,19,2083146003,731662214228,1,19,7,1,93,88,44,1097,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,20,6133360024,967532718142,1,20,8,1,71,66,33,1149,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,21,6416522396,229810776379,1,21,8,1,88,84,42,1066,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,22,2502283131,368132898218,1,22,8,1,91,86,43,993,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,23,3573450625,977772950353,1,23,8,1,70,66,33,1046,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,24,2507719208,980614631081,1,24,8,1,71,66,33,1088,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,25,4410485927,635063776871,1,25,9,1,98,94,47,1057,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,26,5024092523,598187656456,1,26,9,1,91,86,43,1149,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,27,7513563220,512391579988,1,27,9,1,78,74,37,1095,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,28,8339678340,606369127728,1,28,9,1,88,84,42,1121,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
inventory.productinventory,29,1522858215,296286370552,1,29,9,1,88,84,42,1033,2021-09-04 22:14:18.279095,2021-09-04 22:14:18.279095
