model,id,product_inventory,last_checked,units,units_sold,,
inventory.stock,1,1,NULL,135,0,,
inventory.stock,2,2,NULL,188,0,,
inventory.stock,3,3,NULL,2,0,,
inventory.stock,4,4,NULL,153,0,,
inventory.stock,5,5,NULL,84,0,,
inventory.stock,6,6,NULL,92,0,,
inventory.stock,7,7,NULL,153,0,,
inventory.stock,8,8,NULL,153,0,,
inventory.stock,9,9,NULL,113,0,,
inventory.stock,10,10,NULL,77,0,,
inventory.stock,11,11,NULL,181,0,,
inventory.stock,12,12,NULL,178,0,,
inventory.stock,13,13,NULL,43,0,,
inventory.stock,14,14,NULL,18,0,,
inventory.stock,15,15,NULL,53,0,,
inventory.stock,16,16,NULL,83,0,,
inventory.stock,17,17,NULL,102,0,,
inventory.stock,18,18,NULL,133,0,,
inventory.stock,19,19,NULL,20,0,,
inventory.stock,20,20,NULL,172,0,,
inventory.stock,21,21,NULL,116,0,,
inventory.stock,22,22,NULL,3,0,,
inventory.stock,23,23,NULL,5,0,,
inventory.stock,24,24,NULL,5,0,,
inventory.stock,25,25,NULL,140,0,,
inventory.stock,26,26,NULL,63,0,,
inventory.stock,27,27,NULL,51,0,,
inventory.stock,28,28,NULL,46,0,,
inventory.stock,29,29,NULL,158,0,,
inventory.stock,30,30,NULL,95,0,,
inventory.stock,31,31,NULL,134,0,,
inventory.stock,32,32,NULL,110,0,,
inventory.stock,33,33,NULL,21,0,,
inventory.stock,34,34,NULL,164,0,,
inventory.stock,35,35,NULL,1,0,,
inventory.stock,36,36,NULL,37,0,,
inventory.stock,37,37,NULL,137,0,,
inventory.stock,38,38,NULL,88,0,,
inventory.stock,39,39,NULL,145,0,,
inventory.stock,40,40,NULL,181,0,,
inventory.stock,41,41,NULL,113,0,,
inventory.stock,42,42,NULL,102,0,,
inventory.stock,43,43,NULL,161,0,,
inventory.stock,44,44,NULL,71,0,,
inventory.stock,45,45,NULL,180,0,,
inventory.stock,46,46,NULL,128,0,,
inventory.stock,47,47,NULL,12,0,,
inventory.stock,48,48,NULL,66,0,,
inventory.stock,49,49,NULL,115,0,,
inventory.stock,50,50,NULL,53,0,,
inventory.stock,51,51,NULL,58,0,,
inventory.stock,52,52,NULL,158,0,,
inventory.stock,53,53,NULL,126,0,,
inventory.stock,54,54,NULL,61,0,,
inventory.stock,55,55,NULL,95,0,,
inventory.stock,56,56,NULL,147,0,,
inventory.stock,57,57,NULL,127,0,,
inventory.stock,58,58,NULL,182,0,,
inventory.stock,59,59,NULL,152,0,,
inventory.stock,60,60,NULL,42,0,,
inventory.stock,61,61,NULL,56,0,,
inventory.stock,62,62,NULL,142,0,,
inventory.stock,63,63,NULL,27,0,,
inventory.stock,64,64,NULL,114,0,,
inventory.stock,65,65,NULL,181,0,,
inventory.stock,66,66,NULL,146,0,,
inventory.stock,67,67,NULL,75,0,,
inventory.stock,68,68,NULL,179,0,,
inventory.stock,69,69,NULL,166,0,,
inventory.stock,70,70,NULL,166,0,,
inventory.stock,71,71,NULL,170,0,,
inventory.stock,72,72,NULL,182,0,,
inventory.stock,73,73,NULL,66,0,,
inventory.stock,74,74,NULL,100,0,,
inventory.stock,75,75,NULL,89,0,,
inventory.stock,76,76,NULL,197,0,,
inventory.stock,77,77,NULL,181,0,,
inventory.stock,78,78,NULL,9,0,,
inventory.stock,79,79,NULL,195,0,,
inventory.stock,80,80,NULL,183,0,,
inventory.stock,81,81,NULL,13,0,,
inventory.stock,82,82,NULL,153,0,,
inventory.stock,83,83,NULL,192,0,,
inventory.stock,84,84,NULL,32,0,,
inventory.stock,85,85,NULL,94,0,,
inventory.stock,86,86,NULL,161,0,,
inventory.stock,87,87,NULL,154,0,,
